Markup,Part/Library name,Parts Per Package,Reference Designator,TinyCAD Symbol,FreePCB Package,Description,,,,,,,,,,,,,,,,,,,,,
library,gen_Passives,,,,,,,,,,,,,,,,,,,,,,,,,,
part,MOM_DPST_NC,1,SW?,SW_MOM_DPST_NC,,Normally-closed two-pole on/off momentary switches,,,,,,,,,,,,,,,,,,,,,
part,MOM_DPST_OPP,1,SW?,SW_MOM_DPST_OPP,,Two-pole opposed on/off momentary switches,,,,,,,,,,,,,,,,,,,,,
part,MOM_SPDT,1,SW?,SW_MOM_SPDT,,Momentary SPDT pushbutton,,,,,,,,,,,,,,,,,,,,,
part,SWITCH_SPST,1,SW?,SW_SPST,,Single pole normally closed on/off switch,,,,,,,,,,,,,,,,,,,,,
part,SWITCH_SPDT,1,SW?,SW_SPDT,,Selector switch/double throw switch,,,,,,,,,,,,,,,,,,,,,
part,SWITCH_DPST,1,SW?,SW_DPST,,Two-pole normally-open on/off switches,,,,,,,,,,,,,,,,,,,,,
part,SWITCH_DPST_OPP,1,SW?,SW_DPST_OPP,,Two-pole opposed on/off switches (one NO one NC),,,,,,,,,,,,,,,,,,,,,
part,SWITCH_SELECT_3,1,SW?,SW_SP3T,,Three position select switch,,,,,,,,,,,,,,,,,,,,,
part,SWITCH_SELECT_4,1,SW?,SW_SP4T,,Four position select switch,,,,,,,,,,,,,,,,,,,,,
part,SWITCH_SELECT_5,1,SW?,SW_SP5T,,Five position select switch,,,,,,,,,,,,,,,,,,,,,
part,SWITCH_SELECT_6,1,SW?,SW_SP6T,,Six position select switch,,,,,,,,,,,,,,,,,,,,,
part,SWITCH_SELECT_12,1,SW?,SW_SP12T,,Twelve position select switch,,,,,,,,,,,,,,,,,,,,,
part,SWITCH_DIP_8,1,SW?,SW_DIP_8,,8 Position DIP Switch,,,,,,,,,,,,,,,,,,,,,
library,th_Passives,,,,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Usage,Datasheet,Picture,R_Max,R_Min,Progression,V_Max,I_Max,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,10K_POT,1,R?,POT,SIPPOT,10K Variable Resistor  3 terminal,,Misc,,,10K,0,Linear,,,,,,,,,,516-1308-ND,,,,0.35
part,POT,1,R?,POT,,Variable resistor  3 terminal,,,,,,,Logarithmic,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Usage,Datasheet,Picture,Value,Tol.,V_Max,ESR,Material,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,C,1,C?,C,CK05,Generic Axial Ceramic Capacitor,,,,,,,,,,,,,,,,,,,,,
part,C,1,C?,C,CK05,Generic Radial Ceramic Capacitor,,,,,,,,,,,,,,,,,,,,,
part,C,1,C?,CAP,RAD-248,10uF 50V Radial  Leaded Electrolytic Capacitor,,,,,10uF,,50,,20,,,,,,Panasonic ECG,CE-A1HKS100,P997-ND,,,,0.1
part,C,1,C?,C,CK05,18pF 100V Ceramic Axial Capacitor,,Load capacitor for 12MHz crystal,,,18pF,,100,,5,,,,,,Vishay/BC,A180J15C0GH5TAA,1013PHCT-ND,,,,0.12
part,CAP,1,C?,CAP,RAD-197,Generic Small Radial Electrolytic Capacitor,,,,,,,,,,,,,,,,,,,,,
